id,text,l1,l2
2.26311E+16,@FC_HELP can I return online purchases to a House of Fraser concesssion if I have the delivery note and order details?,0,apparel
2.33641E+16,"@FC_Help Hi - I'm writing a piece for MSN Him and wondered who I could talk in the PR dept about this season's clothes/trends, etc? Help!",0,apparel
2.55504E+16,@FC_Help   i need to check my order,0,apparel
2.9495E+16,@FC_Help I need to get in contact with someone regarding the fc.com website. I work for a major search engine. Tried enquiries@ and web form,1,apparel
3.25237E+16,@FC_Help How can I get a hold of you so we can discuss the problem I am havnig with my coat?,0,apparel
3.46004E+16,@FC_Help Will you be getting the wendy cotton v neck dress in pavlova back in stock on the site?,1,apparel
4.87576E+16,"Build new system? @nvidia forgot to put a bootable USB stick with the cards. So buy another card, install with that and put the fermi in.",0,electronics
4.934E+16,@NVIDIAGeForce If I connect a #GTX580 to a TV through HDMI will I get audio output as well?,0,electronics
4.99115E+16,@FC_Help Please could you point me in the direction of your PR department. I need to contact them with regards to some client work.,0,apparel
5.1182E+16,@FC_Help looking for models / actors or dancers ? Olivier,0,apparel
6.13804E+16,@FC_Help hi m order is 913181  did you  revise the money? if you did.. how about the shipping ?,1,apparel
7.05334E+16,"@FC_Help looking for ""bright carol"" or ""stained glass"" dress. do you have these in stock anymore?",0,apparel
7.08592E+16,"@FC_Help not sure if those are official names for dress, but here is image of it. I really want to find it somewhere! http://bit.ly/iMCQsl",0,apparel
7.08792E+16,@FC_Help Thanks! Do you have any idea of the actual name of the dress?,0,apparel
7.97156E+16,@nvidiacc Anyone know what's up with the Geforce 500 series 580 GPX Driver 275.33,1,electronics
8.35628E+16,"Dear @nvidia, I don't think I should have to roll back to driver v270.61 to make my games work, and my desktop not glitch out.",1,electronics
8.52198E+16,"@nvidiacc It might have been a bad overclock. Also, it normal to have flickering in certain applications while running SLI?",1,electronics
8.52308E+16,@nvidiacc Thank you for getting back to me on this. So this is a known issue? How will you publicize a solution? Any ideas on an ETA?,0,electronics
8.55553E+16,"@nvidiacc so far, the mac graphics drivers have been another disappointing update (for both my Quadro 4000 & GTX-285),",1,electronics
8.62146E+16,@nvidiacc any specific application or benchmark?  I'll check next time I swap it out with the GTX-285 for testing,0,electronics
8.86789E+16,@FC_Help is it possible to exchange a French Connection dress bought in John Lewis in your store?,0,apparel
9.1893E+16,"hi @FC_HELP, i made a complaint in one of your stores 5 days ago and no one has dealt with it. who's best to contact at head office, please?",1,apparel
9.4165E+16,@FC_Help what is your policy on false advertising regarding sale items? I was refused a sale in westfield due to a company error on pricing,1,apparel
9.44012E+16,".@nvidiacc @NVIDIAQuadro CUDA driver Lion update, please? http://t.co/cil6HT1",1,electronics
1.01967E+17,"@FC_Help Hi, I have otto frill dress, never worn but lost receipt, discovered it has small fraying of fabric at bottom of zip - help! thanks",1,apparel
1.03185E+17,"@FC_Help request: have shift dress from 08 spring/summer collection - any chance that 1. there r any left,  or 2. u'll make dress again?!",1,apparel
1.04311E+17,@nvidiacc Hrm ok. I guess the question is can I run 2 x 1920x1200 projectors from a Quadro 2000 then?,0,electronics
1.08276E+17,"@nvidiacc will BFBC2 run smoothly at 900x1600 on high settings, on an alienware m14x with the standard video card? 1.5 gigs of vram.",0,electronics
1.08804E+17,"My Graphics Card has gone to Graphics Card Heaven..R.I.P my @nvidia 8800 GTS, you served me well (Military Funeral Music Begins)",0,electronics
1.11092E+17,@nvidiacc what's nvidia gonna do for linux users as optimus further creeps into the gtx lines. what about synergy?,0,electronics
1.13721E+17,"@nvidia You guys are insane, such remarkable minds to created such a powerful product yet so small! I applaud Nvidias work.",0,electronics
